Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,97.3702,27.3575,27.1773,0.1802,0.6455,27.4052,0.4523,26.9529,48.7575,66.6801,NA,97.3702,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,124.7277,60.7324,60.5229,0.2095,0.7111,60.9023,0.5763,60.3260,88.0801,33.3266,-39.3226,124.7277,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,185.4601,31.3208,31.1320,0.1888,0.9026,32.1451,0.4227,31.7224,60.6743,33.2413,27.4058,185.4601,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,216.7809,35.0238,34.8386,0.1852,1.7269,34.4031,0.4311,33.9720,62.5948,466.6788,-1.9205,216.7809,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,251.8047,474.3749,474.2533,0.1216,1.1282,473.7417,0.3159,473.4258,494.2498,49.9948,-431.6550,251.8047,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,726.1796,45.7791,45.6724,0.1067,0.5054,45.7901,0.3066,45.4835,69.8697,33.3150,424.3801,726.1796,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,771.9587,30.0340,29.9358,0.0982,0.5282,29.8778,0.3071,29.5707,57.4056,33.3913,12.4641,771.9587,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,801.9927,31.9416,31.8207,0.1209,0.3843,32.7491,0.3022,32.4469,60.7629,33.3596,-3.3573,801.9927,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,833.9343,33.7013,33.2490,0.4523,1.2047,33.6770,0.6315,33.0455,62.1809,49.9751,-1.4180,833.9343,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,867.6356,45.0372,44.8345,0.2027,1.1686,44.6169,0.4923,44.1246,78.4547,650.0014,-16.2738,867.6356,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,912.6728,650.9678,650.7635,0.2043,0.7701,651.1222,0.6424,650.4798,683.4189,16.6390,-604.9642,912.6728,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1563.6406,29.2209,29.0375,0.1834,0.9245,29.0395,0.5123,28.5272,49.0901,33.3321,634.3288,1563.6406,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1592.8615,44.1096,43.9282,0.1814,0.7607,44.1817,0.5714,43.6103,53.2013,66.6831,-4.1112,1592.8615,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1636.9711,44.8981,44.7076,0.1905,0.8517,44.7509,0.4919,44.2590,75.7748,49.9820,-22.5735,1636.9711,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1681.8692,63.5555,63.3941,0.1614,0.7209,63.6080,0.5716,63.0364,80.8587,33.3269,-5.0839,1681.8692,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1745.4247,45.7785,45.5873,0.1912,0.7860,45.6795,0.4505,45.2290,50.6301,49.9723,30.2286,1745.4247,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1791.2032,45.1549,45.0373,0.1176,0.7046,44.9793,0.3522,44.6271,54.8239,66.6460,-4.1938,1791.2032,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1836.3581,48.7355,48.6164,0.1191,0.5436,49.0437,0.3316,48.7121,76.3150,50.0181,-21.4911,1836.3581,NA,NA,NA
