Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,176.4675,29.0507,28.9022,0.1485,3.0671,28.2888,2.1225,26.1663,37.4915,33.3459,NA,176.4675,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,205.5182,17.1523,16.7365,0.4158,2.3211,16.9031,1.9452,14.9579,41.7867,49.9217,-4.2952,205.5182,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,222.6705,45.3440,45.1975,0.1465,2.0861,45.4265,1.9716,43.4549,74.5561,50.0260,-32.7694,222.6705,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,268.0145,59.7026,59.6063,0.0963,2.1802,61.8557,3.0281,58.8276,79.2381,16.6700,-4.6820,268.0145,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,327.7171,1.8375,1.7620,0.0755,8.3971,4.5275,4.5275,0.0000,36.2055,33.3298,43.0326,327.7171,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,329.5546,46.0608,45.9723,0.0885,7.0332,41.8873,2.5890,39.2983,67.6978,16.6744,-31.4923,329.5546,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,375.6154,30.1676,30.0883,0.0793,2.8691,29.8685,2.4127,27.4558,38.3114,50.0433,29.3864,375.6154,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,405.7830,47.3336,47.1842,0.1494,2.5794,47.2899,2.4450,44.8449,58.1871,49.9994,-19.8757,405.7830,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,453.1166,30.5880,30.4137,0.1743,2.6137,30.6802,2.4378,28.2424,60.8529,33.3263,-2.6658,453.1166,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,483.7046,45.5405,45.3782,0.1623,2.7259,45.4504,2.3671,43.0833,63.5912,66.6714,-2.7383,483.7046,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,529.2451,48.6941,48.5233,0.1708,2.6563,48.4640,1.9452,46.5188,84.7221,16.6797,-21.1309,529.2451,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,577.9392,29.6626,29.4684,0.1942,2.4484,29.2192,2.2086,27.0106,52.7077,1333.2739,32.0144,577.9392,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,607.6018,1334.1679,1333.9554,0.2125,2.0235,1334.4173,1.7661,1332.6512,1356.3190,66.6041,-1303.6113,607.6018,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1941.7697,57.6907,57.5648,0.1259,2.2948,58.5184,1.8551,56.6633,NA,NA,NA,NA,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,1999.4604,2.6529,1.1996,1.4533,3.7523,1.1198,1.1198,0.0000,31.0645,16.6521,1325.2545,1999.4604,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2002.1133,15.4996,15.3851,0.1145,1.6021,15.9682,1.6540,14.3142,45.0637,33.3167,-13.9992,2002.1133,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2017.6129,32.1587,32.0086,0.1501,2.0884,32.6985,1.9314,30.7671,62.8808,33.3029,-17.8171,2017.6129,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2049.7716,45.0919,45.0264,0.0655,2.6431,44.3124,1.7173,42.5951,64.0250,16.7338,-1.1442,2049.7716,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2094.8635,11.7414,11.6677,0.0737,1.8678,12.1584,2.0865,10.0719,35.6669,16.6689,28.3581,2094.8635,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2106.6049,18.9460,18.8924,0.0536,2.2890,18.4121,1.6862,16.7259,40.5944,99.9975,-4.9275,2106.6049,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2125.5509,92.1335,91.8259,0.3076,1.7595,92.3710,1.6636,90.7074,NA,NA,NA,NA,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2217.6844,0.6951,0.5867,0.1084,2.6666,1.1547,1.1547,0.0000,29.5124,16.6085,11.0820,2217.6844,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2218.3795,29.8945,29.8215,0.0730,2.4605,29.5216,1.6459,27.8757,45.4258,33.3404,-15.9134,2218.3795,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2248.2740,31.7266,31.6677,0.0589,2.0916,31.5309,1.5894,29.9415,48.8717,50.0188,-3.4459,2248.2740,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2280.0006,45.2559,45.1886,0.0673,1.8993,45.1929,1.7167,43.4762,67.1639,50.0919,-18.2922,2280.0006,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2325.2565,48.8333,48.6396,0.1937,1.8402,49.2444,1.7522,47.4922,71.9999,16.6815,-4.8360,2325.2565,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2374.0898,7.8709,7.6640,0.2069,2.2677,7.8903,1.7986,6.0917,39.8481,33.2963,32.1518,2374.0898,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2381.9607,39.1614,38.9641,0.1973,2.3106,38.9875,1.6390,37.3485,65.2735,16.6710,-25.4254,2381.9607,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2421.1221,30.5204,30.3282,0.1922,2.1970,30.4816,1.7787,28.7029,42.7831,33.2635,22.4904,2421.1221,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2451.6425,29.7912,29.6597,0.1315,2.1804,29.6864,1.8298,27.8566,45.5262,500.0241,-2.7431,2451.6425,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2481.4337,488.6210,488.4758,0.1452,2.0888,488.4628,1.8043,486.6585,515.7591,50.0002,-470.2329,2481.4337,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,2970.0547,45.4624,44.9671,0.4953,1.9435,45.5359,1.7521,43.7838,77.1383,33.3171,438.6208,2970.0547,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3015.5171,30.5013,30.3615,0.1398,2.0327,30.3984,1.6606,28.7378,64.9930,533.3733,12.1453,3015.5171,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3046.0184,535.5872,535.3788,0.2084,1.9461,535.6864,1.6600,534.0264,567.8650,33.3111,-502.8720,3046.0184,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3581.6056,38.6547,38.4273,0.2274,2.0672,39.0479,1.7919,37.2560,NA,NA,NA,NA,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3620.2603,2.8421,2.6569,0.1852,2.5084,2.1658,1.4032,0.7626,26.9342,33.3434,540.9308,3620.2603,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3623.1024,38.6359,38.4477,0.1882,1.8505,39.0120,1.7777,37.2343,57.4355,33.3317,-30.5013,3623.1024,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3661.7383,36.3650,36.1561,0.2089,2.2450,36.2007,1.8331,34.3676,52.1313,33.3395,5.3042,3661.7383,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3698.1033,18.2550,18.0712,0.1838,2.1018,18.7364,1.8807,16.8557,49.1058,16.6399,3.0255,3698.1033,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3716.3583,38.1716,37.9987,0.1729,2.6077,37.5155,1.6996,35.8159,47.4907,33.3611,1.6151,3716.3583,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3754.5299,27.9189,27.7200,0.1989,1.9739,28.0125,1.8163,26.1962,42.6802,49.9762,4.8105,3754.5299,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3782.4488,40.3893,40.1899,0.1994,2.0903,40.6215,1.7821,38.8394,64.7375,16.6572,-22.0573,3782.4488,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3822.8381,31.1336,30.9449,0.1887,2.3444,30.9459,1.7699,29.1760,41.0054,49.9747,23.7321,3822.8381,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3853.9717,46.9877,46.4480,0.5397,2.1789,47.2431,1.8983,45.3448,59.8465,33.3633,-18.8411,3853.9717,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3900.9594,32.1649,31.9589,0.2060,2.4632,31.6974,1.7643,29.9331,46.2221,66.6631,13.6244,3900.9594,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3933.1243,46.4768,46.2972,0.1796,2.0180,46.4327,1.7118,44.7209,80.7203,16.6890,-34.4982,3933.1243,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,3979.6011,41.4427,41.2644,0.1783,1.9964,41.5561,1.7123,39.8438,50.9325,49.9752,29.7878,3979.6011,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,4021.0438,35.5211,35.3177,0.2034,2.1367,35.4653,1.7202,33.7451,59.4650,33.3435,-8.5325,4021.0438,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,4056.5649,45.4913,45.3006,0.1907,2.1027,45.4869,1.7754,43.7115,57.2874,33.3401,2.1776,4056.5649,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,4102.0562,30.5632,30.3768,0.1864,2.1202,30.5992,1.7351,28.8641,45.1362,516.5513,12.1512,4102.0562,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,4132.6194,511.2019,510.9942,0.2077,2.1801,511.1327,1.7238,509.4089,531.1243,33.4179,-485.9881,4132.6194,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,4643.8213,18.2436,18.0716,0.1720,2.1331,18.1650,1.7588,16.4062,53.3403,16.6757,477.7840,4643.8213,NA,NA,NA
