Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,59.0136,47.8809,47.6699,0.2110,2.2734,47.9777,1.9983,45.9794,62.8680,33.3398,NA,59.0136,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,106.8945,20.8959,20.6985,0.1974,2.3920,20.8236,2.0063,18.8173,48.3269,16.5806,14.5411,106.8945,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,127.7904,19.5954,19.4354,0.1600,2.3776,19.4236,2.0875,17.3361,44.0116,16.6699,4.3153,127.7904,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,147.3858,34.6737,34.5762,0.0975,2.2289,34.7037,2.0382,32.6655,41.0861,50.0129,2.9255,147.3858,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,182.0595,30.8693,30.6405,0.2288,2.2705,30.8718,2.0146,28.8572,56.4253,49.9931,-15.3392,182.0595,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,212.9288,49.1101,48.9824,0.1277,2.2847,49.3722,1.9626,47.4096,75.5491,99.9971,-19.1238,212.9288,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,262.0389,92.7449,92.6870,0.0579,2.5579,93.2968,4.6941,88.6027,NA,NA,NA,NA,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,354.7838,11.8214,11.7686,0.0528,3.1132,11.5926,2.8094,8.7832,33.6912,33.3023,41.8579,354.7838,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,366.6052,45.7840,45.7079,0.0761,2.8888,45.4306,2.4289,43.0017,55.1721,66.7042,-21.4809,366.6052,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,412.3892,47.3968,47.2148,0.1820,2.5428,47.7520,2.6162,45.1358,76.0923,16.6584,-20.9202,412.3892,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,459.7860,29.8150,29.6736,0.1414,2.9187,29.7625,2.6571,27.1054,45.3539,50.0128,30.7384,459.7860,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,489.6010,45.4906,45.3784,0.1122,2.8795,45.2791,2.4856,42.7935,65.5517,83.3169,-20.1978,489.6010,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,535.0916,74.5229,74.4471,0.0758,2.6795,74.2632,2.5842,71.6790,103.3780,16.5690,-37.8263,535.0916,NA,NA,NA
