Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,116.1451,1.5945,1.2566,0.3379,0.1822,1.7770,0.2201,1.5569,27.0780,16.6625,NA,116.1451,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,117.7396,9.2895,9.2260,0.0635,9.5178,0.3825,0.3721,0.0104,42.1460,16.6521,-15.0680,117.7396,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,127.0291,16.7842,16.7113,0.0729,3.3355,14.0631,0.4609,13.6022,49.5086,16.5622,-7.3626,127.0291,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,143.8133,16.5718,16.4790,0.0928,16.6915,0.2939,0.2907,0.0032,49.2866,16.7734,0.2220,143.8133,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,160.3851,16.6884,16.6102,0.0782,0.4150,16.8115,0.3916,16.4199,49.4882,16.6159,-0.2016,160.3851,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,177.0735,16.5515,16.4751,0.0764,16.6537,0.2261,0.2261,0.0000,49.4157,16.7084,0.0725,177.0735,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,193.6250,16.8334,16.7655,0.0679,0.3283,16.8673,0.3097,16.5576,49.5726,16.6682,-0.1569,193.6250,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,210.4584,16.5608,16.4817,0.0791,16.6791,0.3074,0.3027,0.0047,49.4074,16.6754,0.1652,210.4584,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,227.0192,16.7225,16.6474,0.0751,16.8856,0.2917,0.2871,0.0046,49.5220,16.6569,-0.1146,227.0192,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,243.7417,16.7097,16.6202,0.0895,16.7551,0.2840,0.2815,0.0025,49.4564,16.5868,0.0656,243.7417,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,260.4514,16.7190,16.6314,0.0876,16.8614,0.2726,0.2689,0.0037,49.3335,16.6824,0.1229,260.4514,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,277.1704,16.6218,16.5517,0.0701,16.5553,0.2548,0.2548,0.0000,49.2969,16.6670,0.0366,277.1704,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,293.7922,16.6096,16.5208,0.0888,0.1883,16.7966,0.2270,16.5696,49.3421,16.6824,-0.0452,293.7922,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,310.4018,16.7675,16.6551,0.1124,16.8405,0.3378,0.3298,0.0080,49.4149,66.7141,-0.0728,310.4018,NA,NA,NA
chrome.exe,10496,0x246B1A98010,DXGI,0,0,0,Composed: Flip,327.1693,66.6727,66.6003,0.0724,0.4725,67.5980,0.6010,66.9970,99.3615,16.6609,-49.9466,327.1693,NA,NA,NA
