Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,13.0233,16.5138,16.4220,0.0918,16.5602,0.3635,0.2902,0.0733,46.4852,16.6730,NA,13.0233,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,29.5371,16.2748,16.1631,0.1117,0.4339,16.3187,0.3690,15.9497,46.6444,16.6625,-0.1592,29.5371,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,45.8119,16.2166,16.1398,0.0768,16.2800,0.4674,0.3213,0.1461,47.0321,16.6644,-0.3877,45.8119,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,62.0285,17.0295,16.9313,0.0982,0.5896,17.1778,0.6430,16.5348,47.4799,16.5785,-0.4478,62.0285,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,79.0580,16.5698,16.4918,0.0780,16.5822,0.8219,0.8197,0.0022,47.0289,16.7549,0.4510,79.0580,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,95.6278,16.3204,16.2553,0.0651,16.4497,0.7371,0.7351,0.0020,47.2140,16.6640,-0.1851,95.6278,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,111.9482,17.3093,17.2242,0.0851,17.4189,0.2323,0.2284,0.0039,47.5576,16.6750,-0.3436,111.9482,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,129.2575,16.2932,16.2264,0.0668,16.6148,0.2581,0.2548,0.0033,46.9233,16.7026,0.6343,129.2575,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,145.5507,16.5453,16.4446,0.1007,16.7244,0.5516,0.4205,0.1311,47.3327,16.6222,-0.4094,145.5507,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,162.0960,21.6169,21.4114,0.2055,0.7307,21.5993,0.5751,21.0242,47.4096,33.2452,-0.0769,162.0960,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,183.7129,29.3820,29.1938,0.1882,29.5316,0.4702,0.4446,0.0256,59.0379,83.3624,-11.6283,183.7129,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,213.0949,80.4141,80.3304,0.0837,0.6959,80.6091,0.5056,80.1035,113.0183,16.6615,-53.9804,213.0949,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,293.5090,16.5589,16.4679,0.0910,16.9634,0.2258,0.2220,0.0038,49.2657,16.6742,63.7526,293.5090,NA,NA,NA
chrome.exe,19104,0x20A070F21D0,DXGI,0,0,0,Composed: Flip,310.0679,16.6539,16.5591,0.0948,16.7017,0.2725,0.2688,0.0037,49.3810,33.3342,-0.1153,310.0679,NA,NA,NA
