Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,501.4193,298.0897,297.9182,0.1715,90.5064,208.3199,0.6160,207.7039,304.5215,33.3482,NA,501.4193,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,799.5090,25.8615,25.7212,0.1403,25.9752,0.2637,0.2533,0.0104,39.7800,216.5856,264.7415,799.5090,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,825.3705,216.4535,216.3249,0.1286,216.5629,0.7361,0.3377,0.3984,230.5041,200.0768,-190.7241,825.3705,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1041.8240,189.5910,189.4074,0.1836,190.3570,2.8248,1.0568,1.7680,NA,NA,NA,NA,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1231.4150,3.8449,1.1524,2.6925,3.7812,0.3585,0.3399,0.0186,24.5364,16.6576,205.9677,1231.4150,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1235.2599,5.7827,5.6373,0.1454,0.3212,6.2742,0.8511,5.4231,37.3491,16.6378,-12.8127,1235.2599,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1241.0426,16.5881,16.4396,0.1485,16.6913,0.3244,0.3064,0.0180,48.2042,16.6990,-10.8551,1241.0426,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1257.6307,33.1142,32.9327,0.1815,33.1827,0.9365,0.4021,0.5344,48.3151,16.6185,-0.1109,1257.6307,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1290.7449,1.2460,0.9074,0.3386,1.1548,0.4302,0.3382,0.0920,31.8194,16.6623,16.4957,1290.7449,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1291.9909,14.8238,14.7550,0.0688,14.8770,0.3942,0.3859,0.0083,47.2357,16.6292,-15.4163,1291.9909,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1306.8147,18.1721,18.0941,0.0780,18.5880,0.2486,0.2486,0.0000,49.0411,16.6889,-1.8054,1306.8147,NA,NA,NA
chrome.exe,11804,0x206C065F4C0,DXGI,0,0,0,Composed: Flip,1324.9868,21.6578,21.5740,0.0838,0.6645,21.4201,0.2498,21.1703,47.5579,16.6784,1.4832,1324.9868,NA,NA,NA
chrome.exe,11804,0x206C7DCCAD0,DXGI,0,0,0,Composed: Flip,1447.6356,2.2383,1.5721,0.6662,0.3384,1.9580,0.2501,1.7079,24.9592,16.6510,NA,1447.6356,NA,NA,NA
chrome.exe,11804,0x206C7DCCAD0,DXGI,0,0,0,Composed: Flip,1449.8739,6.4581,6.3935,0.0646,6.7723,0.2204,0.2169,0.0035,39.3719,16.6305,-14.4127,1449.8739,NA,NA,NA
chrome.exe,11804,0x206C7DCCAD0,DXGI,0,0,0,Composed: Flip,1456.3320,16.7936,16.7201,0.0735,17.0736,0.3361,0.3256,0.0105,49.5443,16.6715,-10.1724,1456.3320,NA,NA,NA
chrome.exe,11804,0x206C7DCCAD0,DXGI,0,0,0,Composed: Flip,1473.1256,17.0611,16.9217,0.1394,17.1831,0.2740,0.2608,0.0132,49.4222,16.6773,0.1221,1473.1256,NA,NA,NA
chrome.exe,11804,0x206C7DCCAD0,DXGI,0,0,0,Composed: Flip,1490.1867,16.6022,16.4614,0.1408,16.8545,0.4211,0.3840,0.0371,49.0384,16.7014,0.3838,1490.1867,NA,NA,NA
chrome.exe,11804,0x206C7DCCAD0,DXGI,0,0,0,Composed: Flip,1506.7889,16.6827,16.5347,0.1480,0.7588,16.5383,0.4033,16.1350,49.1376,16.6274,-0.0992,1506.7889,NA,NA,NA
